#    File Name               Date (MJD)      Phase         RV obs     RV theo (km/s)
  2012-09-17T04_07_44.417    56187.169664     -9.344437     4.8299    -0.1499
  2012-09-18T01_30_53.915    56188.059988     -9.329304     4.7915    -0.1459
  2012-09-21T02_31_27.003    56191.101840     -9.277598     4.8186    -0.1233
  2012-10-23T23_08_11.803    56223.961285     -8.719049     4.9822     0.0431
  2012-11-07T00_37_52.990    56238.021319     -8.480054     4.8021    -0.1359
  2012-11-19T22_25_40.811    56250.932176     -8.260594     4.8739    -0.1129
  2012-11-30T21_45_39.472    56261.902616     -8.074117     5.0094     0.0641
  2013-01-04T18_55_05.474    56296.779340     -7.481278     4.8250    -0.1354
  2013-01-25T18_38_13.158    56317.772824     -7.124428     4.9400     0.0113
  2013-02-22T18_29_21.792    56345.767650     -6.648568     4.9509    -0.0206
  2013-03-02T18_33_31.315    56353.770532     -6.512534     4.8112    -0.1206
  2013-08-16T03_03_02.962    56520.125012     -3.684819     5.0020     0.0120
  2013-08-17T03_31_20.687    56521.144109     -3.667496     4.9626    -0.0037
  2013-08-18T03_35_08.017    56522.146296     -3.650461     4.9473    -0.0189
  2013-08-19T02_56_52.720    56523.119896     -3.633912     4.9547    -0.0334
  2013-08-20T03_26_06.830    56524.137836     -3.616609     4.9013    -0.0480
  2013-08-30T03_22_05.498    56534.136424     -3.446651     4.8344    -0.1472
  2013-09-20T01_51_04.993    56555.074039     -3.090751     5.0204     0.0470
  2013-09-21T03_13_35.515    56556.131933     -3.072769     5.0498     0.0654
  2013-09-23T22_49_22.555    56558.947072     -3.024917     5.0689     0.1090
  2013-09-25T00_37_13.731    56560.023218     -3.006624     5.1045     0.1226
  2013-10-22T00_21_00.700    56587.010208     -2.547896     4.8403    -0.0995
  2013-10-22T20_53_02.530    56587.860602     -2.533441     4.7740    -0.1086
  2013-10-23T23_51_21.795    56588.991551     -2.514217     4.8734    -0.1197
  2013-10-25T22_39_40.285    56590.940498     -2.481088     4.8431    -0.1355
  2013-10-26T21_42_28.274    56591.901366     -2.464755     4.8252    -0.1417
  2013-11-20T23_17_10.145    56616.963056     -2.038753     5.0785     0.0974
  2013-11-25T21_18_51.674    56621.869306     -1.955356     5.0897     0.1486
  2013-11-27T22_59_57.458    56623.953808     -1.919924     5.1064     0.1549
  2013-11-28T23_10_38.264    56624.962025     -1.902786     5.1508     0.1544
  2013-11-29T20_57_18.489    56625.866007     -1.887420     5.0658     0.1521
  2013-11-30T20_30_43.456    56626.849410     -1.870704     5.0957     0.1476
  2013-12-02T20_49_20.558    56628.862211     -1.836490     5.1012     0.1328
  2013-12-03T20_22_54.828    56629.847222     -1.819747     5.0973     0.1231
  2013-12-04T19_57_42.504    56630.829572     -1.803049     5.0905     0.1121
  2013-12-16T21_51_03.953    56642.908079     -1.597736     4.9022    -0.0633
  2013-12-26T20_43_22.390    56652.829051     -1.429099     4.8317    -0.1512
  2013-12-30T19_34_23.468    56656.812303     -1.361391     4.8199    -0.1530
  2014-01-14T18_34_37.887    56671.767002     -1.107189     4.9452     0.0297
  2014-01-21T18_27_40.857    56678.763148     -0.988267     5.1102     0.1341
  2014-01-25T18_05_18.599    56682.747130     -0.920547     5.1349     0.1549
  2014-01-27T17_59_50.266    56684.744711     -0.886592     5.0536     0.1519
  2014-01-28T18_20_58.647    56685.752546     -0.869461     5.1072     0.1472
  2014-08-18T02_45_55.979    56887.112292      2.553279     4.7965    -0.1472
  2014-09-03T03_23_48.608    56903.137708      2.825681     4.9282    -0.0405
  2014-09-05T03_21_08.771    56905.133866      2.859612     4.9003    -0.0056
  2014-11-01T22_02_37.435    56962.915880      3.841798     4.9583    -0.0242
  2014-11-15T23_00_24.318    56976.956238      4.080458     5.1073     0.1549
  2015-09-22T00_21_32.509    57287.011979      9.350825     4.9683    -0.0200
  2015-10-15T00_53_02.549    57310.025012      9.742004     4.8088    -0.1112
  2015-10-19T22_34_55.956    57314.936562      9.825491     4.9539    -0.0407
  2016-01-02T18_47_06.974    57389.778623     11.097666     5.0781     0.1544
  2016-09-30T23_46_44.660    57661.985370     15.724672     4.8158    -0.1220
  2017-08-30T03_24_55.335    57995.139236     21.387665     4.9547    -0.0516
  2017-09-02T03_55_01.952    57998.154306     21.438915     4.9052    -0.0906
  2017-09-13T00_57_29.918    58009.033160     21.623836     4.8625    -0.1546
  2018-10-03T00_51_52.976    58394.032303     28.168101     5.0997     0.1303
