order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	  149	 198	18.5	   4.2745	 6.5575
 1	  181	 196	17.2	   4.5916	 4.7981
 2	  325	 217	25.8	   4.8144	 5.3707
 3	  375	 204	25.8	   4.9881	 5.1828
 4	  427	 210	25.1	   5.0019	 4.8184
 5	  503	 212	26.2	   4.7916	 4.9738
 6	  555	 197	28.8	   4.8716	 5.2413
 7	  596	 181	28.1	   4.5880	 5.4876
 8	  625	 176	24.9	   5.1936	 5.3578
 9	  667	 145	21.3	   5.0023	 4.6734
10	  818	 188	24.5	   4.8056	 5.4955
11	  959	 184	26.1	   4.8518	 4.9316
12	 1048	 162	26.1	   4.8252	 6.0443
13	 1078	 134	27.1	   4.7684	 5.4952
14	 1171	 128	22.3	   5.0465	 5.2039
15	 1180	 130	22.6	   4.8377	 5.4233
16	 1334	 124	20.4	   4.9319	 4.7278
17	 1302	 138	20.5	   5.0376	 5.0664
18	 1466	 106	27.2	   4.7820	 5.4958
19	 1658	 127	25.7	   4.9352	 5.4023
20	 1665	 126	24.7	   4.3441	 5.3971
21	 1954	 123	25.5	   4.7380	 6.6131
22	 1917	 120	28.1	   5.0614	 5.6371
23	 1952	 120	25.8	   4.8757	 6.2024
24	 2052	 101	30.4	   4.8452	 6.0420
25	 2181	  90	25.0	   4.6682	 6.0166
26	 2320	  83	25.9	   4.6628	 6.2979
27	 2487	  85	19.8	   4.7005	 5.8321
28	 2540	  60	17.8	   5.0912	 5.8550
29	 2655	  56	15.7	   4.8139	 5.8841
30	    0	   0	 0.0	   0.0000	 0.0000
31	 3129	  37	23.1	   4.6936	 5.6135
32	 3120	  84	21.8	   4.8208	 5.2434
33	 3426	  51	21.5	   4.7870	 5.4727
34	 3211	  42	22.5	   4.7596	 6.2698
35	 2744	  13	27.8	   4.7392	 6.1340
36	 3431	  26	13.1	   4.2808	 5.9545
37	 3424	  53	13.9	   4.8662	 5.7618
38	    0	   0	 0.0	   0.0000	 0.0000
