#    File Name               Date (MJD)      Phase         RV obs     RV theo (km/s)
  2013-07-07T23_06_12.863    56480.950752    -23.455583    15.8077    -0.1384
  2013-07-08T21_35_00.457    56481.894630    -23.026040    16.0632     0.1421
  2013-07-13T22_46_25.683    56486.946586    -20.726979    15.9064    -0.0208
  2013-07-21T20_40_16.311    56494.860521    -17.125480    16.0280     0.1015
  2013-07-22T22_54_22.281    56495.953113    -16.628259    15.8425    -0.0997
  2013-07-23T20_39_56.783    56496.859583    -16.215740    15.9630     0.0308
  2013-07-26T21_05_12.295    56499.877778    -14.842210    15.9958     0.0788
  2013-08-12T19_56_35.760    56516.830058     -7.127511    16.0256     0.1002
  2013-08-13T20_18_37.206    56517.845208     -6.665533    15.8526    -0.0729
  2013-08-14T19_59_20.516    56518.831782     -6.216560    15.9614     0.0300
  2013-08-15T19_56_43.606    56519.830255     -5.762171    15.9306     0.0110
  2013-08-16T19_59_19.822    56520.832083     -5.306256    15.8867    -0.0498
  2013-08-17T20_31_50.095    56521.854653     -4.840902    16.0116     0.0778
  2013-08-18T20_17_32.048    56522.844618     -4.390385    15.8058    -0.1112
  2013-08-19T20_21_35.861    56523.847234     -3.934111    16.0746     0.1318
  2013-08-28T19_25_39.924    56532.808542      0.144030    16.0190     0.0890
  2013-08-30T19_21_13.121    56534.805613      1.052864    16.0665     0.1361
  2013-08-31T19_16_12.139    56535.800174      1.505472    15.7942    -0.1439
  2013-09-01T19_12_17.579    56536.797049      1.959133    16.0752     0.1393
  2013-09-02T19_16_36.037    56537.800451      2.415765    15.8025    -0.1243
  2013-09-14T18_54_40.720    56549.786262      7.870307    16.0473     0.0988
  2013-09-15T18_39_12.323    56550.775567      8.320523    15.8635    -0.0617
  2013-09-16T18_47_16.851    56551.781204      8.778171    15.9574     0.0254
  2013-09-17T18_36_38.905    56552.773819      9.229894    15.9556     0.0181
  2013-09-17T18_39_58.640    56552.776134      9.230947    15.9639     0.0172
  2013-09-17T18_43_01.358    56552.778241      9.231906    15.9476     0.0163
  2013-09-17T18_46_05.093    56552.780370      9.232875    15.9519     0.0155
  2013-09-17T18_49_36.030    56552.782812      9.233987    15.9573     0.0145
  2013-09-17T18_52_56.265    56552.785127      9.235040    15.9555     0.0135
  2013-09-17T18_56_01.078    56552.787269      9.236015    15.9430     0.0126
  2013-09-17T19_02_07.953    56552.791516      9.237948    15.9474     0.0109
  2013-09-17T19_05_11.344    56552.793634      9.238911    15.9412     0.0100
  2013-09-17T19_08_18.188    56552.795799      9.239897    15.9547     0.0091
  2013-09-17T19_11_21.328    56552.797917      9.240861    15.9481     0.0083
  2013-09-17T19_14_27.781    56552.800069      9.241840    15.9559     0.0074
  2013-09-17T19_17_41.188    56552.802315      9.242862    15.9309     0.0065
  2013-09-17T19_20_46.078    56552.804456      9.243836    15.9362     0.0056
  2013-09-17T19_24_05.766    56552.806771      9.244890    15.9394     0.0046
  2013-09-17T19_27_20.235    56552.809016      9.245912    15.9629     0.0037
  2013-09-17T19_30_41.219    56552.811343      9.246971    15.9333     0.0027
  2013-09-17T19_33_45.219    56552.813472      9.247939    15.9396     0.0019
  2013-09-17T19_37_04.172    56552.815775      9.248987    15.9403     0.0009
  2013-09-17T19_40_25.375    56552.818102      9.250046    15.9471    -0.0000
  2013-09-17T19_43_44.219    56552.820405      9.251094    15.9511    -0.0010
  2013-09-17T19_46_48.860    56552.822546      9.252069    15.9390    -0.0019
  2013-09-17T19_49_52.782    56552.824676      9.253038    15.9354    -0.0027
  2013-09-17T19_52_59.875    56552.826840      9.254023    15.9485    -0.0036
  2013-09-17T19_56_33.704    56552.829306      9.255145    15.9428    -0.0047
  2013-09-17T19_59_39.313    56552.831458      9.256125    15.9503    -0.0055
  2013-09-17T20_02_43.329    56552.833588      9.257094    15.9342    -0.0064
  2013-09-17T20_05_47.750    56552.835718      9.258063    15.9338    -0.0073
  2013-09-17T20_08_52.235    56552.837859      9.259037    15.9371    -0.0082
