order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	  260	 200	18.2	  15.5623	 6.1712
 1	  321	 199	15.4	  15.9753	 5.3255
 2	  566	 218	21.1	  16.1046	 6.1279
 3	  669	 206	21.5	  16.4371	 6.1174
 4	  723	 210	19.5	  16.4025	 5.5070
 5	  889	 214	21.2	  15.9331	 5.7236
 6	 1005	 197	23.4	  16.1525	 5.7080
 7	 1099	 181	23.3	  15.7252	 5.9411
 8	 1130	 178	20.6	  16.2472	 6.0917
 9	 1131	 147	17.3	  16.4745	 5.6772
10	 1432	 189	19.7	  15.6282	 6.3239
11	 1644	 186	20.6	  16.0327	 5.6170
12	 1766	 163	21.9	  15.8835	 7.0895
13	 1797	 136	22.4	  16.0551	 6.2174
14	 1943	 130	17.6	  16.1700	 5.9515
15	 1975	 131	17.5	  16.0502	 6.0953
16	 2166	 126	15.8	  16.1906	 5.6135
17	 2071	 138	15.7	  16.3883	 5.7904
18	 2428	 106	22.5	  16.1325	 5.9392
19	 2699	 128	20.4	  16.2108	 5.9870
20	 2721	 128	19.4	  15.4614	 5.9639
21	 3179	 124	21.5	  15.9389	 7.5627
22	 3142	 121	23.1	  16.3180	 6.2596
23	 3195	 120	21.7	  16.2040	 6.6397
24	 3303	 102	24.6	  16.1892	 6.4287
25	 3482	  90	19.8	  15.8205	 6.5632
26	 3670	  84	20.5	  15.9808	 6.7404
27	 3958	  85	16.0	  16.0297	 6.4365
28	 3992	  60	13.8	  16.3516	 6.3694
29	 4165	  56	11.8	  15.9234	 6.6687
30	    0	   0	 0.0	   0.0000	 0.0000
31	 4857	  37	17.4	  15.9650	 6.2170
32	 4794	  85	16.9	  16.1245	 5.7270
33	 5335	  51	16.8	  16.0188	 6.1049
34	 4914	  42	17.6	  15.9615	 6.9634
35	 4237	  13	23.0	  15.8055	 6.5563
36	 5141	  26	 9.8	  15.8961	 6.9338
37	 5149	  53	10.5	  16.0193	 6.4294
38	    0	   0	 0.0	   0.0000	 0.0000
