\FILE_NAME,\STAR_ID,\DATA_CATEGORY,\NUMBER_OF_POINTS,\TIME_REFERENCE_FRAME,\MINIMUM_DATE,\DATE_UNITS,\MAXIMUM_DATE,\MINIMUM_VALUE,\VALUE_UNITS,\MAXIMUM_VALUE,\REFERENCE,\BIBCODE,\TELESCOPE,\INSTRUMENT,\WAVELENGTH_CALIBRATION_TECHNIQUE,\OBSERVATORY_SITE,\COLUMN_FCJD,\COLUMN_RADIAL_VELOCITY
HD80606_104_RV.tbl,2MASS J09265211+4953117,Planet Radial Velocity Curve,25,FCJD,2454817.001759,days,2455527.977963,-159.083,m/s,190.658,"Thomas et al. 2016 (PASP, 128, 5003)",2016PASP..128d5003T,2.5m Sloan Foundation Telescope,MARVELS,Tungsten Iodine Lamp,"Apache Point Observatory, New Mexico",Flux Centered Julian Date of observation,Radial velocity relative to barycenter
GJ436_022_RV.tbl,2MASS J11391543+2554478,Planet Radial Velocity Curve,28,FCJD,2454867.993356,days,2455291.771759,-27652.221,m/s,18435.350,"Thomas et al. 2016 (PASP, 128, 5003)",2016PASP..128d5003T,2.5m Sloan Foundation Telescope,MARVELS,Tungsten Iodine Lamp,"Apache Point Observatory, New Mexico",Flux Centered Julian Date of observation,Radial velocity relative to barycenter
KEPLER3.TRES-2_089_RV.tbl,2MASS J19013968+4936470,Planet Radial Velocity Curve,21,FCJD,2454956.914896,days,2455521.551042,-109.064,m/s,99.605,"Thomas et al. 2016 (PASP, 128, 5003)",2016PASP..128d5003T,2.5m Sloan Foundation Telescope,MARVELS,Tungsten Iodine Lamp,"Apache Point Observatory, New Mexico",Flux Centered Julian Date of observation,Radial velocity relative to barycenter
APGS_VOD1_115_RV.tbl,UCAC-184-110144,Planet Radial Velocity Curve,20,FCJD,2455579.962882,days,2456086.639618,-273.551,m/s,243.420,"Thomas et al. 2016 (PASP, 128, 5003)",2016PASP..128d5003T,2.5m Sloan Foundation Telescope,MARVELS,Tungsten Iodine Lamp,"Apache Point Observatory, New Mexico",Flux Centered Julian Date of observation,Radial velocity relative to barycenter
HD9407_047_RV.tbl,2MASS J01325068+6915549,Planet Radial Velocity Curve,14,FCJD,2454808.622581,days,2455514.685532,-213.642,m/s,172.276,"Thomas et al. 2016 (PASP, 128, 5003)",2016PASP..128d5003T,2.5m Sloan Foundation Telescope,MARVELS,Tungsten Iodine Lamp,"Apache Point Observatory, New Mexico",Flux Centered Julian Date of observation,Radial velocity relative to barycenter
HD37605_033_RV.tbl,2MASS J05413590+0542468,Planet Radial Velocity Curve,26,FCJD,2454842.814583,days,2455557.880914,-1233.881,m/s,320.789,"Thomas et al. 2016 (PASP, 128, 5003)",2016PASP..128d5003T,2.5m Sloan Foundation Telescope,MARVELS,Tungsten Iodine Lamp,"Apache Point Observatory, New Mexico",Flux Centered Julian Date of observation,Radial velocity relative to barycenter
HD80606_004_RV.tbl,2MASS J09234266+5118501,Planet Radial Velocity Curve,25,FCJD,2454817.001759,days,2455527.977963,-126.745,m/s,112.209,"Thomas et al. 2016 (PASP, 128, 5003)",2016PASP..128d5003T,2.5m Sloan Foundation Telescope,MARVELS,Tungsten Iodine Lamp,"Apache Point Observatory, New Mexico",Flux Centered Julian Date of observation,Radial velocity relative to barycenter
XO-2_073_RV.tbl,2MASS J07403876+4930132,Planet Radial Velocity Curve,30,FCJD,2454840.961655,days,2455527.892627,-227.030,m/s,455.791,"Thomas et al. 2016 (PASP, 128, 5003)",2016PASP..128d5003T,2.5m Sloan Foundation Telescope,MARVELS,Tungsten Iodine Lamp,"Apache Point Observatory, New Mexico",Flux Centered Julian Date of observation,Radial velocity relative to barycenter
HD49674_031_RV.tbl,2MASS J06563604+4105291,Planet Radial Velocity Curve,30,FCJD,2454779.836308,days,2455522.893287,-211.845,m/s,201.565,"Thomas et al. 2016 (PASP, 128, 5003)",2016PASP..128d5003T,2.5m Sloan Foundation Telescope,MARVELS,Tungsten Iodine Lamp,"Apache Point Observatory, New Mexico",Flux Centered Julian Date of observation,Radial velocity relative to barycenter
K20_067_RV.tbl,2MASS J19391001+4052152,Planet Radial Velocity Curve,24,FCJD,2455139.590718,days,2455544.554537,-28910.832,m/s,23691.736,"Thomas et al. 2016 (PASP, 128, 5003)",2016PASP..128d5003T,2.5m Sloan Foundation Telescope,MARVELS,Tungsten Iodine Lamp,"Apache Point Observatory, New Mexico",Flux Centered Julian Date of observation,Radial velocity relative to barycenter
