# Simulation for ICA
# Parameters
# Planet orbital period: 10.250449763542893
# Planet velocity amplitude: 1.0
# Planet phase: 4.03617325307933
# Activity covariance amplitude: 0.5
# Activity covariance period: 24.743841011564534
# Activity coherence time: 52.596220620964274
# Activity smoothing parameter: 0.736575270996628
# Record noise: 0.1
# Columns: [time, signal in channel 1, signal in channel 2, real signal 1, real signal 2]
time	x1	x2	s1	s2
54294.508430	0.163540	0.153992	0.396169	-0.047741
54298.370400	-0.908687	-1.028600	-0.925242	-0.599567
54298.602220	-1.205360	-1.329620	-0.862190	-0.621301
54299.347900	-1.044678	-1.173738	-0.550113	-0.645298
54299.607500	-0.688013	-0.814142	-0.410838	-0.630644
54300.351760	-0.041650	-0.143448	0.032828	-0.508990
54300.613620	0.160503	0.072706	0.192143	-0.438987
54301.361300	0.522506	0.486217	0.606498	-0.181442
54301.571120	0.812146	0.792186	0.703465	-0.099796
54301.575400	0.581402	0.561780	0.705327	-0.098112
54301.579790	0.663015	0.643738	0.707232	-0.096385
54301.584290	0.768811	0.749889	0.709179	-0.094613
54301.588740	0.724668	0.706096	0.711100	-0.092861
54302.386350	1.000203	1.043127	0.958007	0.214617
54302.595530	1.142671	1.200128	0.986809	0.287287
54303.355930	0.994167	1.093173	0.954298	0.495030
54303.415480	1.273610	1.374985	0.942756	0.506875
54303.567650	1.387448	1.494252	0.907597	0.534017
54303.614790	1.093302	1.201604	0.895089	0.541512
54304.385290	0.779521	0.900910	0.594255	0.606944
54305.540440	0.282767	0.398795	-0.071668	0.580141
54306.367610	0.007993	0.121199	-0.546984	0.566031
54306.580250	-0.261504	-0.147500	-0.651150	0.570017
54306.607730	-0.364531	-0.250375	-0.663841	0.570781
54307.366870	-0.750737	-0.628539	-0.928840	0.610992
54307.494610	-0.519584	-0.395501	-0.954974	0.620417
54307.582590	-0.675319	-0.549890	-0.969578	0.627146
54308.369840	-0.478624	-0.340979	-0.972453	0.688222
54308.594690	-0.685687	-0.544951	-0.931207	0.703680
54309.400050	-0.570835	-0.421682	-0.647310	0.745763
54309.512090	-0.759431	-0.609403	-0.593478	0.750143
54310.430780	0.412884	0.569255	-0.072184	0.781856
54310.609110	0.491128	0.648873	0.037055	0.788725
54311.401220	0.804843	0.970563	0.499135	0.828597
54311.570210	0.951665	1.119488	0.586058	0.839118
54312.397580	1.509601	1.688291	0.905830	0.893451
54312.545800	1.342918	1.523336	0.940531	0.902089
54313.529840	1.438644	1.623574	0.967264	0.924649
54313.617340	1.280634	1.465115	0.952269	0.922404
54314.376090	1.200401	1.373473	0.714211	0.865361
54315.567210	0.145449	0.276855	0.065332	0.657029
54316.392180	-0.407349	-0.311641	-0.426211	0.478544
54316.567250	-0.357301	-0.269065	-0.520650	0.441180
54317.494100	-0.659087	-0.609091	-0.898237	0.249981
54317.628080	-0.518253	-0.473700	-0.931264	0.222768
54318.329440	-0.748923	-0.732916	-0.998377	0.080038
54318.569130	-0.911214	-0.904863	-0.979284	0.031755
54328.393540	-0.930154	-0.849915	-0.998362	0.401196
54328.536540	-0.720214	-0.633888	-0.999538	0.431629
54330.334530	-0.404600	-0.286718	-0.424383	0.589412
54331.360250	0.360661	0.474676	0.189303	0.570074
54331.553850	0.586857	0.699742	0.304223	0.564426
54332.481510	0.772529	0.879821	0.769302	0.536460
54333.354240	1.189137	1.291078	0.987529	0.509705
54334.394530	1.009380	1.106738	0.887194	0.486787
54335.398250	0.249943	0.350215	0.458210	0.501358
54336.465140	0.098384	0.211745	-0.177049	0.566809
